FUND_NAME,SHARE_CLASS,ISIN,KIID_PDF_URL,FACT_SHEET_URL,IDENTIFIER,KIID_SRRI,LATEST_SRRI,WEEK_OF_CHANGE,MANAGEMENT_FEE,SHARE_CLASS_INCEPTION
Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - February A Acc USD,IE000X8M8M80,https://www.ftglobalportfolios.com/srp/documents-id/12b3eaca-6c0d-4fd4-aae1-e4d13da2b4e1/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/d5d541e3-8c14-4930-9047-7a853c7538e9/FactSheet.pdf,firsttrustvestusequitymoderatebufferucitsetffebruaryaaccusd,5,4,Week 4,0.85,2024-02-16
Vest U.S. Equity Moderate Buffer UCITS ETF - November,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - November A Acc USD,IE000OJ31JQ4,https://www.ftglobalportfolios.com/srp/documents-id/ef9fa1c6-63a9-47c9-807b-1cb7a81823aa/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/290ab942-c6c0-4566-8e23-e7e77e1aa62c/FactSheet.pdf,firsttrustvestusequitymoderatebufferucitsetfnovemberaaccusd,5,4,Week 2,0.85,2023-11-17
SMID Rising Dividend Achievers,First Trust SMID Rising Dividend Achievers UCITS ETF A Acc USD,IE0001R850E1,https://www.ftglobalportfolios.com/srp/documents-id/eb4b1886-76ab-47cc-a9af-322ce3c63cd1/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/0d37455d-dd9d-441d-8d01-b1df1b5f0d6c/FactSheet.pdf,firsttrustsmidrisingdividendachieversucitsetfaaccusd,7,6,Week 5,0.6,2024-04-09
SMID Rising Dividend Achievers,First Trust SMID Rising Dividend Achievers UCITS ETF B Dist USD,IE000YVOQ2A3,https://www.ftglobalportfolios.com/srp/documents-id/4d1341db-dd54-410e-8043-085a3c5e28b3/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/0d6ce1c3-66af-4195-8e9b-524ff6fc0e5b/FactSheet.pdf,firsttrustsmidrisingdividendachieversucitsetfbdistusd,7,6,Week 5,0.6,2025-04-08
US Equity Income,First Trust US Equity Income UCITS ETF B Acc USD,IE00BD6GCF16,https://www.ftglobalportfolios.com/srp/documents-id/29a90b27-e5a4-4f8f-bb75-2b849c6fea0f/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/c37cc806-5e96-4d09-b610-b1173be5afe4/FactSheet.pdf,firsttrustusequityincomeucitsetfbaccusd,7,6,Week 3,0.55,2017-05-09
Global Capital Strength ESG Leaders,First Trust Global Capital Strength ESG Leaders UCITS ETF A Acc USD,IE00BKPSPT20,https://www.ftglobalportfolios.com/srp/documents-id/9b0a7d94-4e11-4d7d-b54a-7e611a7df965/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/5032a85f-a02c-4b93-8ca2-e87c45892f13/FactSheet.pdf,firsttrustglobalcapitalstrengthesgleadersucitsetfaaccusd,5,6,Week 15,0.75,2021-03-09
Value Line® Dividend Index,First Trust Value Line® Dividend Index UCITS ETF A Acc USD,IE00BKVKW020,https://www.ftglobalportfolios.com/srp/documents-id/becfbae5-0285-47e3-b351-4cd42e1759cd/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/2ed346f6-2d08-4dfa-88a9-b877035af5c2/FactSheet.pdf,firsttrustvaluelinedividendindexucitsetfaaccusd,6,5,Week 6,0.7,2020-02-12
Capital Strength,First Trust Capital Strength UCITS ETF A Acc USD,IE00BL0L0D23,https://www.ftglobalportfolios.com/srp/documents-id/e91eb545-d18b-4261-8021-503167b2ae75/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/4a2ea3ca-f301-4453-a85a-71e987940f1f/FactSheet.pdf,firsttrustcapitalstrengthucitsetfaaccusd,6,5,Week 5,0.6,2020-01-27
US Equity Income,First Trust US Equity Income UCITS ETF A Dist USD,IE00BZBW4Z27,https://www.ftglobalportfolios.com/srp/documents-id/2155ba2d-7b36-41f9-b34b-e54a961f3306/KIID.pdf,https://www.ftglobalportfolios.com/srp/documents-id/16a6da4c-4f72-48b4-9f10-60b300b5ac08/FactSheet.pdf,firsttrustusequityincomeucitsetfadistusd,7,6,Week 3,0.55,2016-04-14
